Word,Pronounce
barefoot,[ˈbeə.fʊt]
chariot,[ˈtʃær.i.ət]
combat,[ˈkɒm.bæt]
descend,[dɪˈsend]
dialect,[ˈdaɪ.ə.lekt]
disappear,[ˌdɪs.əˈpɪər]
drift,[drɪft]
drown,[draʊn]
echo,[ˈek.əʊ]
emergency,[ɪˈmɜː.dʒən.si]
graze,[ɡreɪz]
headlong,[ˈhed.lɒŋ]
interpret,[ɪnˈtɜː.prɪt]
leisurely,[ˈleʒ.ə.li]
locate,[ləʊˈkeɪt]
migrate,[maɪˈɡreɪt]
nap,[næp]
occasional,[əˈkeɪ.ʒən.əl]
outdoor,[ˈaʊtˌdɔːr]
outing,[ˈaʊ.tɪŋ]
paddle,[ˈpæd.əl]
pedestrian,[pəˈdes.tri.ən]
peril,[ˈper.əl]
precedent,[ˈpres.ɪ.dənt]
ramp,[ræmp]
ranch,[rɑːntʃ]
rear,[rɪər]
retreat,[rɪˈtriːt]
roam,[rəʊm]
rove,[rəʊv]
saddle,[ˈsæd.əl]
sled,[sled]
stream,[striːm]
stroll,[strəʊl]
swell,[swel]
tow,[təʊ]
trail,[treɪl]
transient,[ˈtræn.zi.ənt]
trek,[trek]
waterproof,[ˈwɔː.tə.pruːf]
accommodate,[əˈkɒm.ə.deɪt]
afford,[əˈfɔːd]
amount,[əˈmaʊnt]
antique,[ænˈtiːk]
appetizer,[ˈæp.ə.taɪ.zər]
approximate,[əˈprɒk.sɪ.mət]
ashtray,[ˈæʃ.treɪ]
barter,[ˈbɑː.tər]
bunch,[bʌntʃ]
cabin,[ˈkæb.ɪn]
carriage,[ˈkær.ɪdʒ]
chamber,[ˈtʃeɪm.bər]
cottage,[ˈkɒt.ɪdʒ]
cozy,[ˈkəʊ.zi]
cuisine,[kwɪˈziːn]
currency,[ˈkʌr.ən.si]
dish,[dɪʃ]
escape,[ɪˈskeɪp]
exchange,[ɪksˈtʃeɪndʒ]
fee,[fiː]
flea,[fliː]
jewel,[ˈdʒuː.əl]
leftover,[ˈleftˌəʊ.vər]
local,[ˈləʊ.kəl]
meal,[mɪəl]
metropolitan,[ˌmet.rəˈpɒl.ɪ.tən]
necklace,[ˈnek.ləs]
ornament,[ˈɔː.nə.mənt]
oyster,[ˈɔɪ.stər]
pay,[peɪ]
revenue,[ˈrev.ən.juː]
souvenir,[ˌsuː.vənˈɪər]
staple,[ˈsteɪ.pəl]
store,[stɔːr]
tribute,[ˈtrɪb.juːt]
vacant,[ˈveɪ.kənt]
alley,[ˈæl.i]
antarctic,[ænˈtɑːk.tɪk]
arctic,[ˈɑːk.tɪk]
atlantic,[ətˈlæn.tɪk]
barbarian,[bɑːˈbeə.ri.ən]
bend,[bend]
block,[blɒk]
bull,[bʊl]
cascade,[kæsˈkeɪd]
cathedral,[kəˈθiː.drəl]
centennial,[senˈten.i.əl]
continent,[ˈkɒn.tɪ.nənt]
convenient,[kənˈviː.ni.ənt]
county,[ˈkaʊn.ti]
crater,[ˈkreɪ.tər]
curve,[kɜːv]
depth,[depθ]
desolate,[ˈdes.əl.ət]
district,[ˈdɪs.trɪkt]
dock,[dɒk]
dragonfly,[ˈdræɡ.ən.flaɪ]
dusk,[dʌsk]
embassy,[ˈem.bə.si]
equator,[ɪˈkweɪ.tər]
exotic,[ɪɡˈzɒt.ɪk]
expanse,[ɪkˈspæns]
glacial,[ˈɡleɪ.si.əl]
glitter,[ˈɡlɪt.ər]
gull,[ɡʌl]
hatch,[hætʃ]
hemisphere,[ˈhem.ɪ.sfɪər]
herd,[hɜːd]
historic,[hɪˈstɒr.ɪk]
hub,[hʌb]
isle,[aɪl]
ivory,[ˈaɪ.vər.i]
latitude,[ˈlæt.ɪ.tʃuːd]
longitude,[ˈlɒŋ.ɡɪ.tʃuːd]
magnificent,[mæɡˈnɪf.ɪ.sənt]
mast,[mɑːst]
mediterranean,[N/A]
metropolis,[məˈtrɒp.əl.ɪs]
mist,[mɪst]
native,[ˈneɪ.tɪv]
nature,[ˈneɪ.tʃər]
orient,[ˈɔː.ri.ənt]
origin,[ˈɒr.ɪ.dʒɪn]
outlook,[ˈaʊt.lʊk]
passerby,[ˈpæs·ərˈbɑɪ]
pasture,[ˈpɑːs.tʃər]
pavement,[ˈpeɪv.mənt]
peninsula,[pəˈnɪn.sjə.lə]
polar,[ˈpəʊ.lər]
prairie,[ˈpreə.ri]
province,[ˈprɒv.ɪns]
quest,[kwest]
rare,[reər]
region,[ˈriː.dʒən]
sheer,[ʃɪər]
shoal,[ʃəʊl]
spectacle,[ˈspek.tə.kəl]
steep,[stiːp]
stranger,[ˈstreɪn.dʒər]
suburban,[səˈbɜː.bən]
summit,[ˈsʌm.ɪt]
territory,[ˈter.ɪ.tər.i]
tropics,[ˈtrɑp·ɪks]
underground,[ˌʌn.dəˈɡraʊnd]
urban,[ˈɜː.bən]
vine,[vaɪn]
western,[ˈwes.tən]
wilderness,[ˈwɪl.də.nəs]
acoustic,[əˈkuː.stɪk]
astronomy,[əˈstrɒn.ə.mi]
atom,[ˈæt.əm]
biochemistry,[ˌbaɪ.əʊˈkem.ɪ.stri]
biology,[baɪˈɒl.ə.dʒi]
botany,[ˈbɒt.ən.i]
chemistry,[ˈkem.ɪ.stri]
clarity,[ˈklær.ə.ti]
classify,[ˈklæs.ɪ.faɪ]
clone,[kləʊn]
comet,[ˈkɒm.ɪt]
constellation,[ˌkɒn.stəˈleɪ.ʃən]
cosmos,[ˈkɒz.mɒs]
decimal,[ˈdes.ɪ.məl]
dissolve,[dɪˈzɒlv]
elastic,[iˈlæs.tɪk]
electric,[iˈlek.trɪk]
electronic,[ˌel.ekˈtrɒn.ɪk]
enclosure,[ɪnˈkləʊ.ʒər]
evolution,[ˌiː.vəˈluː.ʃən]
expert,[ˈek.spɜːt]
external,[ɪkˈstɜː.nəl]
extinct,[ɪkˈstɪŋkt]
firsthand,[ˌfɜːstˈhænd]
fluid,[ˈfluː.ɪd]
fusion,[ˈfjuː.ʒən]
galaxy,[ˈɡæl.ək.si]
gene,[dʒiːn]
geology,[dʒiˈɒl.ə.dʒi]
hydrogen,[ˈhaɪ.drə.dʒən]
infer,[ɪnˈfɜːr]
intrigue,[ɪnˈtriːɡ]
irrigation,[ˌɪr.ɪˈɡeɪ.ʃən]
laboratory,[ləˈbɒr.ə.tər.i]
linear,[ˈlɪn.i.ər]
lunar,[ˈluː.nər]
magnet,[ˈmæɡ.nət]
mechanical,[məˈkæn.ɪ.kəl]
metabolic,[met.əˈbɒl.ɪk]
meteor,[ˈmiː.ti.ɔːr]
moisture,[ˈmɔɪs.tʃər]
nuclear,[ˈnjuː.klɪər]
orbit,[ˈɔː.bɪt]
particle,[ˈpɑː.tɪ.kəl]
physics,[ˈfɪz.ɪks]
precise,[prɪˈsaɪs]
radiation,[ˌreɪ.diˈeɪ.ʃən]
radioactive,[ˌreɪ.di.əʊˈæk.tɪv]
rechargeable,[riːˈtʃɑː.dʒə.bəl]
refraction,[rɪˈfræk.ʃən]
research,[rɪˈsɜːtʃ]
reservoir,[ˈrez.ə.vwɑːr]
satellite,[ˈsæt.əl.aɪt]
scientific,[ˌsaɪənˈtɪf.ɪk]
similar,[ˈsɪm.ɪ.lər]
spaceship,[ˈspeɪs.ʃɪp]
survey,[ˈsɜː.veɪ]
telescope,[ˈtel.ɪ.skəʊp]
terrestrial,[təˈres.tri.əl]
theory,[ˈθɪə.ri]
thermal,[ˈθɜː.məl]
uncommon,[ʌnˈkɒm.ən]
underpin,[ˌʌn.dəˈpɪn]
universal,[ˌjuː.nɪˈvɜː.səl]
vapor,[ˈveɪ.pɚ]
velocity,[vəˈlɒs.ə.ti]
artificial,[ˌɑː.tɪˈfɪʃ.əl]
beaver,[ˈbiː.vər]
bough,[baʊ]
bud,[bʌd]
calf,[kɑːf]
carbon,[ˈkɑː.bən]
cluster,[ˈklʌs.tər]
combination,[ˌkɒm.bɪˈneɪ.ʃən]
component,[kəmˈpəʊ.nənt]
compost,[ˈkɒm.pɒst]
compound,[ˈkɒm.paʊnd]
coral,[ˈkɒr.əl]
degrade,[dɪˈɡreɪd]
dehydrate,[ˌdiː.haɪˈdreɪt]
density,[ˈden.sɪ.ti]
dinosaur,[ˈdaɪ.nə.sɔːr]
dispersal,[dɪˈspɜː.səl]
evergreen,[ˈev.ə.ɡriːn]
fabric,[ˈfæb.rɪk]
fiber,[ˈfaɪ.bər]
flightless,[ˈflaɪt.ləs]
flock,[flɒk]
fossil,[ˈfɒs.əl]
freshwater,[ˈfreʃˌwɔː.tər]
fur,[fɜːr]
gill,[ɡɪl]
goat,[ɡəʊt]
gourd,[ɡʊəd]
gravel,[ˈɡræv.əl]
greenery,[ˈɡriː.nər.i]
gut,[ɡʌt]
hollow,[ˈhɒl.əʊ]
hummingbird,[ˈhʌm.ɪŋ.bɜːd]
hybrid,[ˈhaɪ.brɪd]
impure,[ɪmˈpjʊər]
jellyfish,[ˈdʒel.i.fɪʃ]
leopard,[ˈlep.əd]
lumber,[ˈlʌm.bər]
magnetism,[ˈmæɡ.nə.tɪ.zəm]
mammal,[ˈmæm.əl]
material,[məˈtɪə.ri.əl]
meltwater,[ˈmeltˌwɔːtər]
mine,[maɪn]
moss,[mɒs]
moth,[mɒθ]
mutation,[mjuːˈteɪ.ʃən]
oak,[əʊk]
octopus,[ˈɒk.tə.pəs]
orchard,[ˈɔː.tʃəd]
overflow,[ˌəʊ.vəˈfləʊ]
puddle,[ˈpʌd.əl]
pulp,[pʌlp]
recycle,[ˌriːˈsaɪ.kəl]
reed,[riːd]
reef,[riːf]
refine,[rɪˈfaɪn]
remnant,[ˈrem.nənt]
reptile,[ˈrep.taɪl]
rhinoceros,[raɪˈnɒs.ər.əs]
salmon,[ˈsæm.ən]
seed,[siːd]
shellfish,[ˈʃel.fɪʃ]
shrub,[ʃrʌb]
solid,[ˈsɒl.ɪd]
sparrow,[ˈspær.əʊ]
species,[ˈspiː.ʃiːz]
specimen,[ˈspes.ə.mɪn]
sprout,[spraʊt]
stale,[steɪl]
starfish,[ˈstɑː.fɪʃ]
substance,[ˈsʌb.stəns]
swarm,[swɔːm]
treetop,[ˈtriː.tɒp]
unfiltered,[ʌnˈfɪl.təd]
volcanic,[vɒlˈkæn.ɪk]
weed,[wiːd]
wheat,[wiːt]
wither,[ˈwɪð.ər]
acid,[ˈæs.ɪd]
automatic,[ˌɔː.təˈmæt.ɪk]
barometer,[bəˈrɒm.ɪ.tər]
barrel,[ˈbær.əl]
basin,[ˈbeɪ.sən]
bucket,[ˈbʌk.ɪt]
capacity,[kəˈpæs.ə.ti]
cavity,[ˈkæv.ə.ti]
cell,[sel]
circuit,[ˈsɜː.kɪt]
copper,[ˈkɒp.ər]
core,[kɔːr]
crane,[kreɪn]
crust,[krʌst]
diameter,[daɪˈæm.ɪ.tər]
dimension,[ˌdaɪˈmen.ʃən]
dioxide,[daɪˈɒk.saɪd]
durable,[ˈdʒʊə.rə.bəl]
element,[ˈel.ɪ.mənt]
equipment,[ɪˈkwɪp.mənt]
extract,[ɪkˈstrækt]
gallon,[ˈɡæl.ən]
gauge,[ɡeɪdʒ]
icing,[ˈaɪ.sɪŋ]
ingredient,[ɪnˈɡriː.di.ənt]
instrument,[ˈɪn.strə.mənt]
length,[leŋθ]
lever,[ˈliː.vər]
microscope,[ˈmaɪ.krə.skəʊp]
miniature,[ˈmɪn.ə.tʃər]
mold,[məʊld]
mud,[mʌd]
peat,[piːt]
pendulum,[ˈpen.dʒəl.əm]
platinum,[ˈplæt.ɪ.nəm]
plumb,[plʌm]
potable,[ˈpəʊ.tə.bəl]
proportion,[prəˈpɔː.ʃən]
radius,[ˈreɪ.di.əs]
rag,[ræɡ]
rubber,[ˈrʌb.ər]
screw,[skruː]
solution,[səˈluː.ʃən]
source,[sɔːs]
sphere,[sfɪər]
spike,[spaɪk]
stethoscope,[ˈsteθ.ə.skəʊp]
string,[strɪŋ]
stuff,[stʌf]
timber,[ˈtɪm.bər]
tin,[tɪn]
toss,[tɒs]
trigger,[ˈtrɪɡ.ər]
vibrate,[vaɪˈbreɪt]
abolish,[əˈbɒl.ɪʃ]
absorb,[əbˈzɔːb]
add,[æd]
amplify,[ˈæm.plɪ.faɪ]
analysis,[əˈnæl.ə.sɪs]
blurred,[blɜːd]
coincide,[ˌkəʊ.ɪnˈsaɪd]
combustion,[kəmˈbʌs.tʃən]
conclusion,[kənˈkluː.ʒən]
condense,[kənˈdens]
consecutive,[kənˈsek.jə.tɪv]
consequence,[ˈkɒn.sɪ.kwəns]
correlation,[ˌkɒr.əˈleɪ.ʃən]
current,[ˈkʌr.ənt]
deduction,[dɪˈdʌk.ʃən]
diagram,[ˈdaɪ.ə.ɡræm]
dilute,[daɪˈluːt]
division,[dɪˈvɪʒ.ən]
drip,[drɪp]
duration,[dʒʊəˈreɪ.ʃən]
elusive,[iˈluː.sɪv]
emigrate,[ˈem.ɪ.ɡreɪt]
emit,[iˈmɪt]
empirical,[ɪmˈpɪr.ɪ.kəl]
erode,[ɪˈrəʊd]
erupt,[ɪˈrʌpt]
evaporate,[ɪˈvæp.ər.eɪt]
evidence,[ˈev.ɪ.dəns]
evolve,[ɪˈvɒlv]
expand,[ɪkˈspænd]
explosion,[ɪkˈspləʊ.ʒən]
fade,[feɪd]
finding,[ˈfaɪn.dɪŋ]
fission,[ˈfɪʃ.ən]
flame,[fleɪm]
forecast,[ˈfɔː.kɑːst]
formation,[fɔːˈmeɪ.ʃən]
formula,[ˈfɔː.mjə.lə]
friction,[ˈfrɪk.ʃən]
gravity,[ˈɡræv.ə.ti]
hardwire,[/ˈkwɔː.tə.bæk/]
hypothesis,[haɪˈpɒθ.ə.sɪs]
imprint,[ɪmˈprɪnt]
neurological,[ˌnjʊə.rəˈlɒdʒ.ɪ.kəl]
insulate,[ˈɪn.sjə.leɪt]
integrate,[ˈɪn.tɪ.ɡreɪt]
invert,[ɪnˈvɜːt]
investigate,[ɪnˈves.tɪ.ɡeɪt]
isolate,[ˈaɪ.sə.leɪt]
margin,[ˈmɑː.dʒɪn]
measure,[ˈmeʒ.ər]
melt,[melt]
merge,[mɜːdʒ]
modify,[ˈmɒd.ɪ.faɪ]
myriad,[ˈmɪr.i.əd]
necessarily,[ˈnes.ə.ser.ɪl.i]
neutral,[ˈnjuː.trəl]
outlet,[ˈaʊt.let]
overestimate,[ˌəʊ.vəˈres.tɪ.meɪt]
parallel,[ˈpær.ə.lel]
possibility,[ˌpɒs.əˈbɪl.ə.ti]
process,[ˈprəʊ.ses]
prove,[pruːv]
relatively,[ˈrel.ə.tɪv.li]
relevance,[ˈrel.ə.vəns]
rigorous,[ˈrɪɡ.ər.əs]
secondhand,[ˈsek·əndˈhænd]
shrink,[ʃrɪŋk]
simulate,[ˈsɪm.jə.leɪt]
status,[ˈsteɪ.təs]
submerge,[səbˈmɜːdʒ]
subside,[səbˈsaɪd]
substitute,[ˈsʌb.stɪ.tʃuːt]
symmetry,[ˈsɪm.ə.tri]
transparent,[trænˈspær.ənt]
uncontrollably,[ˌʌn.kənˈtrəʊ.lə.bli]
underlie,[ˌʌn.dəˈlaɪ]
vacuum,[ˈvæk.juːm]
abbreviation,[əˌbriː.viˈeɪ.ʃən]
alternative,[ɒlˈtɜː.nə.tɪv]
assess,[əˈses]
atmosphere,[ˈæt.mə.sfɪər]
axis,[ˈæk.sɪs]
barely,[ˈbeə.li]
basis,[ˈbeɪ.sɪs]
benefit,[ˈben.ɪ.fɪt]
brink,[brɪŋk]
bulk,[bʌlk]
category,[ˈkæt.ə.ɡri]
celsius,[ˈsel.si.əs]
certain,[ˈsɜː.tən]
characteristic,[ˌkær.ək.təˈrɪs.tɪk]
compact,[kəmˈpækt]
concept,[ˈkɒn.sept]
concerning,[kənˈsɜː.nɪŋ]
concise,[kənˈsaɪs]
concrete,[ˈkɒŋ.kriːt]
cone,[kəʊn]
constant,[ˈkɒn.stənt]
contain,[kənˈteɪn]
content,[kənˈtent]
context,[ˈkɒn.tekst]
contrary,[ˈkɒn.trə.ri]
contrast,[ˈkɒn.trɑːst]
contribution,[ˌkɒn.trɪˈbjuː.ʃən]
corrode,[kəˈrəʊd]
crack,[kræk]
crispy,[ˈkrɪs.pi]
criterion,[kraɪˈtɪə.ri.ən]
cumulative,[ˈkjuː.mjə.lə.tɪv]
decode,[diːˈkəʊd]
define,[dɪˈfaɪn]
dense,[dens]
dip,[dɪp]
disposable,[dɪˈspəʊ.zə.bəl]
distinct,[dɪˈstɪŋkt]
elevation,[ˌel.ɪˈveɪ.ʃən]
evident,[ˈev.ɪ.dənt]
exactly,[ɪɡˈzækt.li]
exception,[ɪkˈsep.ʃən]
excess,[ɪkˈses]
experimental,[ɪkˌsper.ɪˈmen.təl]
extension,[ɪkˈsten.ʃən]
extreme,[ɪkˈstriːm]
fake,[feɪk]
figure,[ˈfɪɡ.ər]
finite,[ˈfaɪ.naɪt]
flavor,[ˈfleɪ.vər]
flaw,[flɔː]
fuzzy,[ˈfʌz.i]
genesis,[ˈdʒen.ə.sɪs]
hardly,[ˈhɑːd.li]
homeostasis,[ˌhəʊ.mi.əʊˈsteɪ.sɪs]
identical,[aɪˈden.tɪ.kəl]
illuminate,[ɪˈluː.mɪ.neɪt]
incessant,[ɪnˈses.ənt]
industrial,[ɪnˈdʌs.tri.əl]
inevitable,[ɪˈnev.ɪ.tə.bəl]
inflate,[ɪnˈfleɪt]
instant,[ˈɪn.stənt]
intact,[ɪnˈtækt]
intent,[ɪnˈtent]
issue,[ˈɪʃ.uː]
logic,[ˈlɒdʒ.ɪk]
mental,[ˈmen.təl]
mode,[məʊd]
partical,[/ˈkwɔː.tə.bæk/]
physiological,[ˌfɪz.i.əˈlɒdʒ.ɪ.kəl]
preliminary,[prɪˈlɪm.ɪ.nər.i]
prior,[praɪər]
progress,[ˈprəʊ.ɡres]
proof,[pruːf]
propel,[prəˈpel]
pure,[pjʊər]
quality,[ˈkwɒl.ə.ti]
quantity,[ˈkwɒn.tə.ti]
rate,[reɪt]
rectangle,[ˈrek.tæŋ.ɡəl]
reference,[ˈref.ər.əns]
reverse,[rɪˈvɜːs]
rubbish,[ˈrʌb.ɪʃ]
scarcity,[ˈskeə.sə.ti]
segment,[ˈseɡ.mənt]
semicircle,[ˈsem.iˌsɜː.kəl]
sequence,[ˈsiː.kwəns]
simultaneously,[ˌsɪm.əlˈteɪ.ni.əs.li]
smudge,[smʌdʒ]
standard,[ˈstæn.dəd]
surface,[ˈsɜː.fɪs]
surge,[sɜːdʒ]
thrust,[θrʌst]
transmit,[trænzˈmɪt]
twofold,[ˈtuː.fəʊld]
typical,[ˈtɪp.ɪ.kəl]
ultimate,[ˈʌl.tɪ.mət]
unstable,[ʌnˈsteɪ.bəl]
valid,[ˈvæl.ɪd]
vertical,[ˈvɜː.tɪ.kəl]
violet,[ˈvaɪə.lət]
weight,[weɪt]
accountant,[əˈkaʊn.tənt]
administration,[ədˌmɪn.ɪˈstreɪ.ʃən]
admiral,[ˈæd.mər.əl]
ambassador,[æmˈbæs.ə.dər]
application,[ˌæp.lɪˈkeɪ.ʃən]
apply,[əˈplaɪ]
archaeology,[ˌɑː.kiˈɒl.ə.dʒi]
associate,[əˈsəʊ.si.eɪt]
astronaut,[ˈæs.trə.nɔːt]
attorney,[əˈtɜː.ni]
author,[ˈɔː.θər]
aviator,[ˈeɪ.vi.eɪ.tər]
barber,[ˈbɑː.bər]
bishop,[ˈbɪʃ.əp]
blacksmith,[ˈblæk.smɪθ]
candidate,[ˈkæn.dɪ.dət]
carpenter,[ˈkɑː.pɪn.tər]
clergyman,[ˈklɜː.dʒi.mən]
coach,[kəʊtʃ]
commission,[kəˈmɪʃ.ən]
correspondent,[ˌkɒr.ɪˈspɒn.dənt]
dictator,[dɪkˈteɪ.tər]
dismiss,[dɪˈsmɪs]
eligible,[ˈel.ɪ.dʒə.bəl]
employee,[ɪmˈplɔɪ.iː]
fabulous,[ˈfæb.jə.ləs]
fishery,[ˈfɪʃ.ər.i]
florist,[ˈflɒr.ɪst]
gladiator,[ˈɡlæd.i.eɪ.tər]
grocery,[ˈɡrəʊ.sər.i]
guard,[ɡɑːd]
herald,[ˈher.əld]
hire,[haɪər]
homemaker,[ˈhəʊmˌmeɪ.kər]
hostage,[ˈhɒs.tɪdʒ]
janitor,[ˈdʒæn.ɪ.tər]
judge,[dʒʌdʒ]
jury,[ˈdʒʊə.ri]
livestock,[ˈlaɪv.stɒk]
mathematician,[ˌmæθ.məˈtɪʃ.ən]
mechanic,[məˈkæn.ɪk]
merchant,[ˈmɜː.tʃənt]
mining,[ˈmaɪ.nɪŋ]
minister,[ˈmɪn.ɪ.stər]
ministry,[ˈmɪn.ɪ.stri]
missionary,[ˈmɪʃ.ən.ri]
occupation,[ˌɒk.jəˈpeɪ.ʃən]
official,[əˈfɪʃ.əl]
outlaw,[ˈaʊt.lɔː]
pastor,[ˈpɑː.stər]
patron,[ˈpeɪ.trən]
peasant,[ˈpez.ənt]
physician,[fɪˈzɪʃ.ən]
plumber,[ˈplʌm.ər]
politician,[ˌpɒl.ɪˈtɪʃ.ən]
priest,[priːst]
professional,[prəˈfeʃ.ən.əl]
publicist,[ˈpʌb.lɪ.sɪst]
representative,[ˌrep.rɪˈzen.tə.tɪv]
retire,[rɪˈtaɪər]
secretary,[ˈsek.rə.tər.i]
shaman,[ˈʃeɪ.mən]
shepherd,[ˈʃep.əd]
sheriff,[ˈʃer.ɪf]
subordinate,[səˈbɔː.dɪ.nət]
superior,[suːˈpɪə.ri.ər]
temporary,[ˈtem.pər.ər.i]
tenant,[ˈten.ənt]
trade,[treɪd]
undermine,[ˌʌn.dəˈmaɪn]
undeserved,[ˌʌn.dɪˈzɜːvd]
usher,[ˈʌʃ.ər]
vendor,[ˈven.dər]
veterinarian,[ˌvet.ər.ɪˈneə.ri.ən]
vocation,[vəʊˈkeɪ.ʃən]
warrir,[/ˈkwɔː.tə.bæk/]
witness,[ˈwɪt.nəs]
wizard,[ˈwɪz.əd]
advertise,[ˈæd.və.taɪz]
aeronautics,[ˌeə.rəˈnɔː.tɪks]
agriculture,[ˈæɡ.rɪ.kʌl.tʃər]
aircraft,[ˈeə.krɑːft]
alchemy,[ˈæl.kə.mi]
appliance,[əˈplaɪ.əns]
arrange,[əˈreɪndʒ]
authorize,[ˈɔː.θər.aɪz]
broadcast,[ˈbrɔːd.kɑːst]
build,[bɪld]
burden,[ˈbɜː.dən]
census,[ˈsen.səs]
contract,[ˈkɒn.trækt]
cooperation,[kəʊˌɒp.ərˈeɪ.ʃən]
corporate,[ˈkɔː.pər.ət]
delegate,[ˈdel.ɪ.ɡət]
delivery,[dɪˈlɪv.ər.i]
department,[dɪˈpɑːt.mənt]
diplomacy,[dɪˈpləʊ.mə.si]
discharge,[dɪsˈtʃɑːdʒ]
documentary,[ˌdɒk.jəˈmen.tər.i]
economic,[ˌiː.kəˈnɒm.ɪk]
ecosystem,[ˈiː.kəʊˌsɪs.təm]
fashion,[ˈfæʃ.ən]
finance,[ˈfaɪ.næns]
headquarters,[ˌhedˈkwɔː.təz]
import,[ɪmˈpɔːt]
incorporate,[ɪnˈkɔː.pər.eɪt]
incur,[ɪnˈkɜːr]
innovation,[ˌɪn.əˈveɪ.ʃən]
inquiry,[ɪnˈkwaɪə.ri]
international,[ˌɪn.təˈnæʃ.ən.əl]
legal,[ˈliː.ɡəl]
management,[ˈmæn.ɪdʒ.mənt]
military,[ˈmɪl.ɪ.tər.i]
mission,[ˈmɪʃ.ən]
monetary,[ˈmʌn.ɪ.tri]
ownership,[ˈəʊ.nə.ʃɪp]
patrol,[pəˈtrəʊl]
permanent,[ˈpɜː.mə.nənt]
personnel,[ˌpɜː.sənˈel]
president,[ˈprez.ɪ.dənt]
promotion,[prəˈməʊ.ʃən]
property,[ˈprɒp.ə.ti]
publish,[ˈpʌb.lɪʃ]
purchase,[ˈpɜː.tʃəs]
railroad,[ˈreɪl.rəʊd]
reception,[rɪˈsep.ʃən]
recruit,[rɪˈkruːt]
refund,[ˈriː.fʌnd]
regulate,[ˈreɡ.jə.leɪt]
reliable,[rɪˈlaɪ.ə.bəl]
replacement,[rɪˈpleɪs.mənt]
retail,[ˈriː.teɪl]
salary,[ˈsæl.ər.i]
salvage,[ˈsæl.vɪdʒ]
section,[ˈsek.ʃən]
sector,[ˈsek.tər]
sewage,[ˈsuː.ɪdʒ]
spokesman,[ˈspəʊks.mən]
statistics,[stəˈtɪs·tɪks]
strategy,[ˈstræt.ə.dʒi]
structure,[ˈstrʌk.tʃər]
synthetic,[sɪnˈθet.ɪk]
transportation,[ˌtræn.spɔːˈteɪ.ʃən]
wholesale,[ˈhəʊl.seɪl]
